molecule_chembl_id,canonical_smiles,standard_value
CHEMBL128338,CC1CC(=O)NN=C1c1ccc(NC2=C(Cc3ccc([N+](=O)[O-])cc3)C(=O)CCC2)cc1,24.0
CHEMBL129407,CC1(C)C(=O)NN=C1c1ccc(NC2=C(Cc3cccc(F)c3)C(=O)CCC2)cc1F,43.0
CHEMBL341354,CC1CC(=O)NN=C1c1ccc(NC2=C(Cc3cccc([N+](=O)[O-])c3)C(=O)CCC2)cc1,3.1
CHEMBL129689,Cc1cc(NC2=C(Cc3ccccc3)C(=O)CCC2)ccc1C1=NNC(=O)C1(C)C,38.0
CHEMBL128485,CC1(C)C(=O)NN=C1c1ccc(NC2=C(Cc3ccccc3)C(=O)CCC2)cc1F,20.0
CHEMBL341231,CC1CC(=O)NN=C1c1ccc(NC2=C(Cc3cccc(F)c3)C(=O)CCC2)cc1,2.8
CHEMBL421249,Cc1cc(NC2=C(Cc3ccccc3)C(=O)CCC2)ccc1C1=NNC(=O)CC1C,22.0
CHEMBL131672,CC1(C)C(=O)NN=C1c1ccc(NC2=C(Cc3ccccc3F)C(=O)CCC2)cc1F,16.0
CHEMBL128263,CC1(C)C(=O)NN=C1c1ccc(NC2=C(Cc3ccc(F)cc3)C(=O)CCC2)cc1F,63.0
CHEMBL129692,CC1CC(=O)NN=C1c1ccc(NC(=O)OCc2ccccc2)cc1,2.9
CHEMBL131355,CC1CC(=O)NN=C1c1ccc(NC2=C(Cc3cccc(I)c3)C(=O)CCC2)cc1,0.33
CHEMBL128783,CC1CC(=O)NN=C1c1ccc(NC2=C(Cc3ccccc3)C(=O)CCC2)cc1Cl,46.0
CHEMBL341160,Cc1cc(NC2=C(Cc3cccc(C#N)c3)C(=O)CCC2)ccc1C1=NNC(=O)C1(C)C,130.0
CHEMBL128456,C[C@@H]1CC(=O)NN=C1c1ccc(NC2=C(Cc3ccccc3)C(=O)CCC2)cc1,1.3
CHEMBL341327,CC1=C(Nc2ccc(C3=NNC(=O)C[C@H]3C)cc2)CCCC1=O,44.0
CHEMBL131111,COc1ccccc1CC1=C(Nc2ccc(C3=NNC(=O)CC3C)cc2)CCCC1=O,0.39
CHEMBL131118,CCc1cc(NC2=C(Cc3ccccc3)C(=O)CCC2)ccc1C1=NNC(=O)CC1C,101.0
CHEMBL340118,CC1(C)C(=O)NN=C1c1ccc(NC2=C(Cc3ccccc3Cl)C(=O)CCC2)cc1Cl,77.0
CHEMBL34431,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1,16.0
CHEMBL128621,CC1CC(=O)NN=C1c1ccc(NC2=C(Cc3cccc(Br)c3)C(=O)CCC2)cc1,0.94
CHEMBL338179,CC1CC(=O)NN=C1c1ccc(NC2=C(Cc3ccccc3)C(=O)CCC2)cc1F,1.6
CHEMBL189,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,440.0
CHEMBL130081,CC1(C)C(=O)NN=C1c1ccc(NC2=C(Cc3ccccc3Cl)C(=O)CCC2)cc1F,7.2
CHEMBL130026,CC1CC(=O)NN=C1c1cc(F)c(NC2=C(Cc3ccccc3)C(=O)CCC2)cc1F,1.6
CHEMBL129691,CCOC(=O)Nc1ccc(C2=NNC(=O)C[C@H]2C)cc1,24.0
CHEMBL129668,CC1(C)C(=O)NN=C1c1ccc(NC2=C(Cc3c(Cl)cccc3Cl)C(=O)CCC2)cc1F,2.2
CHEMBL128877,CC1(C)C(=O)NN=C1c1ccc(NC2=C(Cc3cccc(C#N)c3)C(=O)CCC2)cc1F,69.0
CHEMBL129283,CC1(C)C(=O)NN=C1c1ccc(/N=C2\CCCC(O)=C2Cc2cccc(C#N)c2)c(F)c1F,7.6
CHEMBL128017,C[C@@H]1CC(=O)NN=C1c1ccc(NC(=O)c2ccccc2C(F)(F)F)cc1,15.0
CHEMBL273816,CC1(C)C(=O)NN=C1c1ccc(NC2=C(Cc3cccc([N+](=O)[O-])c3)C(=O)CCC2)cc1Cl,550.0
CHEMBL338860,C[C@@H]1CC(=O)NN=C1c1ccc(NC2=C(Cc3ccccc3-c3cccc([N+](=O)[O-])c3)C(=O)CCC2)cc1,0.11
CHEMBL340785,CC(=O)Nc1ccc(C2=NNC(=O)C[C@H]2C)cc1,96.0
CHEMBL131939,Cc1cc(C2=NNC(=O)CC2C)ccc1/N=C1\CCCC(O)=C1Cc1ccccc1,3.7
CHEMBL128391,CC1CC(=O)NN=C1c1ccc(/N=C2\CCCC(O)=C2Cc2ccccc2)c(F)c1,1.2
CHEMBL129600,CC1(C)C(=O)NN=C1c1ccc(NC2=C(Cc3cccc([N+](=O)[O-])c3)C(=O)CCC2)cc1F,150.0
CHEMBL339210,C[C@@H]1CC(=O)NN=C1c1ccc(NC2=C(Cc3ccccc3-c3ccsc3)C(=O)CCC2)cc1,0.11
CHEMBL129255,COc1ccc(CC2=C(Nc3ccc(C4=NNC(=O)CC4C)cc3)CCCC2=O)cc1,2.3
CHEMBL128619,CC1(C)C(=O)NN=C1c1ccc(NC2=C(Cc3ccccc3)C(=O)CCC2)cc1,53.0
CHEMBL338381,CC1CC(=O)NN=C1c1ccc(NC2=C(Cc3ccccc3C(F)(F)F)C(=O)CCC2)cc1,0.83
CHEMBL182703,O=C1Nc2c(Cl)cc(-c3ccccc3)cc2C2(CCCCC2)N1,101000.0
CHEMBL361469,O=C1Nc2c(Cl)cc(-c3ccccn3)cc2C2(CCCCC2)N1,45100.0
CHEMBL184945,O=C1Nc2c(Cl)cc(-c3cccnc3)cc2C2(CCCCC2)N1,14800.0
CHEMBL185208,O=C1Nc2c(Cl)cc(-c3ccncc3)cc2C2(CCCCC2)N1,11200.0
CHEMBL185304,O=C1Nc2c(Cl)cc(-c3ccc(C(=O)O)cc3)cc2C2(CCCCC2)N1,21300.0
CHEMBL427505,O=C1Nc2c(Cl)cc(-c3cccc(C(=O)O)c3)cc2C2(CCCCC2)N1,16700.0
CHEMBL185588,CN1CCN(C(=O)c2ccccc2-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)CC1,92000.0
CHEMBL185296,NC(=O)c1ccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)cc1,280.0
CHEMBL366149,CN(C)CCNC(=O)c1ccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)cc1,42200.0
CHEMBL363084,CN(C)CCNC(=O)c1cccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)c1,79900.0
CHEMBL427513,CN(C)CCCNC(=O)c1ccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)cc1,44500.0
CHEMBL182617,CN(C)CCCNC(=O)c1cccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)c1,78100.0
CHEMBL183465,CN1CCN(C(=O)c2ccc(-c3cc(Cl)c4c(c3)C3(CCCCC3)NC(=O)N4)cc2)CC1,29300.0
CHEMBL185370,CN1CCN(C(=O)c2cccc(-c3cc(Cl)c4c(c3)C3(CCCCC3)NC(=O)N4)c2)CC1,31600.0
CHEMBL184279,N#CCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,94000.0
CHEMBL183965,O=C1Nc2c(Cl)ccc(OCCO)c2C2(CCCCC2)N1,73000.0
CHEMBL359890,CCOC(=O)c1ccc(COc2ccc(Cl)c3c2C2(CCCCC2)NC(=O)N3)o1,78000.0
CHEMBL183280,O=C(O)COc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,68000.0
CHEMBL361512,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccc(O)cc1,101000.0
CHEMBL183156,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccc(C(=O)O)cc1,30680.0
CHEMBL362719,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccc(F)cc1,101000.0
CHEMBL184837,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1c(O)cccc1C(=O)O,49420.0
CHEMBL363673,Cc1cccc(C(=O)O)c1/N=c1\sc(-c2ccc(Cl)cc2)nn1C,20540.0
CHEMBL182227,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(C(=O)O)c1O,9830.0
CHEMBL184861,O=C1Nc2c(Cl)ccc(OCc3nn[nH]n3)c2C2(CCCCC2)N1,11800.0
CHEMBL182536,O=C1Nc2c(Cl)ccc(OCc3noc(O)n3)c2C2(CCCCC2)N1,21900.0
CHEMBL365447,O=C1Nc2c(Cl)ccc(OCc3ccc(C(=O)O)o3)c2C2(CCCCC2)N1,10800.0
CHEMBL360627,O=C1Nc2c(Cl)ccc(OCCCS(=O)(=O)O)c2C2(CCCCC2)N1,12700.0
CHEMBL182574,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccc(F)c(C(=O)O)c1,16980.0
CHEMBL184017,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccc(O)c(C(=O)O)c1,5580.0
CHEMBL185523,O=C1Nc2c(Cl)ccc(OCCN3CCOCC3)c2C2(CCCCC2)N1,101000.0
CHEMBL185275,NCCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,101000.0
CHEMBL184979,CNCCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,101000.0
CHEMBL184903,CN(C)CCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,101000.0
CHEMBL185108,CN(C)CCCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,101000.0
CHEMBL185531,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccccc1O,101000.0
CHEMBL185532,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(O)c1,6130.0
